SUB_HAP,SUB_SAT,SUB_SLP,DIC_PAR,DIC_FRI,DIC_OTH,ULT_PRO_PAR,ULT_PRO_FRI,ULT_PRO_OTH,ULT_REC_PAR,ULT_REC_FRI,ULT_REC_OTH,TRU_PAR,TRU_FRI,TRU_OTH,SPN_UNM,SPN_THK,SPN_FEA,SPN_LIV,SPN_IMP,KAN_SEC,KAN_THI,KAN_SUP,KAN_PRD,KAN_KYK,DED_SHI,DED_TEN,DED_JIG,DED_KIS,DED_PUN,SEX_IMP,SEX_MAS,SEX_SEX,SEX_OBJ,SEX_NIN,SEX_NNA,SEX_IMP_num,SEX_MAS_nen,SEX_SEX_nen,SEX_NIN_cen,F_SEX,F_GEN_2,F_GEN,F_FGR,F_INK,F_INS,F_INK_cen,F_INS_cen,F_TAN,ARE,PRE,MAR,CHI,ID
9,9,7,5,3,0,5,3,1,4,3,1,3,2,1,3,3,3,3,4,2,3,3,3,3,1,1,1,3,3,3,0,5,Isei,N2-3nin,0,3,0,26,2.5,female,20_af,20dai,Dai_Sotsu,y0,y800-1000,0,9,SMA(android),Tohoku,4,Married,NoChild,794
10,10,10,10,10,0,10,8,6,0,0,8,8,5,3,1,4,3,3,4,1,1,1,1,4,1,1,1,3,3,3,,,Isei,,3,3,,,,female,30_af,30dai,Sen_Sotsu,y400-600,y600-800,5,7,PC(Windows),Kyushu,40,NotMarried,NoChild,795
2,3,5,0,2,2,2,1,9,1,1,8,1,4,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,5,0,0,Isei,N0nin,0,5,0,0,0,female,30_af,30dai,Kou_Sotsu,y1-200,y400-600,1,5,Tab(Windows),Tohoku,2,NotMarried,Child,796
9,6,10,10,10,10,5,5,4,5,5,5,10,5,3,3,4,4,4,4,3,2,2,2,3,3,3,2,4,4,5,,4,Isei,N5-7nin,1,5,,12,6,female,30_bf,30dai,Kou_Sotsu,y0,y400-600,0,5,SMA(iOS_iPhone),Kanto,14,Married,Child,797
8,8,7,0,2,0,2,2,2,5,5,5,2,5,5,3,3,3,2,4,1,1,1,2,3,1,1,1,1,1,5,5,1,Isei,N31-50nin,0,5,26,1,35.5,female,40_bf,40dai,Dai_Chu,y0,y600-800,0,7,PC(Mac),Kanto,9,Married,NoChild,798
10,10,10,3,1,1,3,3,3,0,1,5,3,1,1,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,6,7,1,Isei,N16-20nin,0,6,130,1,18,male,40_af,40dai,Dai_Sotsu,y800-1000,y1200-1500,9,13.5,SMA(iOS_iPhone),Kanto,13,Married,NoChild,799
7,7,7,5,5,0,5,5,5,0,0,5,10,5,1,4,4,4,4,4,1,1,2,1,3,4,4,4,4,4,5,7,2,Isei,N2-3nin,0,5,130,2,2.5,male,30_af,30dai,Mas_Shu,y200-400,y200-400,3,3,SMA(android),Kanto,13,NotMarried,NoChild,800
5,4,4,3,5,2,3,5,1,4,4,0,4,5,5,3,1,2,1,1,3,1,2,4,2,3,2,2,3,3,2,3,8,Dosei,N1nin,0,2,4,365,1,male,20_af,20dai,Dai_Chu,Unknown,Unknown,,,Other,Tohoku,4,Married,Child,801
5,5,4,3,3,1,5,4,5,4,3,3,7,7,3,3,2,3,3,4,3,4,2,3,3,3,3,3,3,3,4,4,4,Isei,N2-3nin,0,4,12,12,2.5,female,20_af,20dai,Kou_Sotsu,y1-200,y200-400,1,3,SMA(android),Chugoku,34,NotMarried,NoChild,802
5,4,5,7,5,1,7,5,1,7,5,1,7,5,1,2,3,3,2,3,3,3,1,2,3,3,3,3,3,3,4,0,,Isei,N5-7nin,1,4,0,,6,female,30_bf,30dai,Sen_Sotsu,y0,y200-400,0,3,SMA(android),Chubu,21,Married,Child,803
8,8,5,5,3,0,5,5,5,5,5,5,10,5,5,4,4,4,4,4,2,3,4,3,4,4,4,4,4,4,4,,,Isei,,3,4,,,,female,30_af,30dai,Sen_Sotsu,y200-400,y600-800,3,7,Tab(iOS_iPad),Kanto,13,Married,NoChild,804
7,6,6,0,0,0,2,5,5,0,0,0,10,10,10,4,3,4,3,4,4,4,3,3,4,3,3,2,4,4,4,,5,Isei,N1nin,1,4,,26,1,female,20_af,20dai,Dai_Sotsu,y200-400,y2000-,3,20,SMA(iOS_iPhone),Kinki,27,NotMarried,NoChild,805
3,3,7,3,2,0,3,3,3,4,4,4,5,5,5,2,3,3,3,3,2,1,3,1,3,3,2,2,3,3,4,,,Isei,,3,4,,,,male,40_af,40dai,Kou_Sotsu,y200-400,y400-600,3,5,SMA(android),Chubu,23,NotMarried,NoChild,806
5,5,5,5,1,0,5,5,5,0,1,1,9,2,0,2,3,3,3,4,3,3,2,3,3,1,1,1,2,2,4,5,3,Isei,,1,4,26,4,,male,40_bf,40dai,Dai_Sotsu,y400-600,y400-600,5,5,PC(Windows),Kinki,27,NotMarried,NoChild,807
3,3,6,7,0,0,3,6,5,3,5,5,10,0,0,2,3,2,3,4,1,1,1,1,3,4,2,2,2,4,1,6,0,Dosei,N1nin,0,1,52,0,1,male,30_bf,30dai,Mas_Shu,y200-400,y200-400,3,3,PC(Windows),Chubu,21,NotMarried,NoChild,808
4,3,3,5,5,5,5,4,6,5,2,5,10,10,5,3,3,3,3,3,3,2,2,3,3,2,2,2,3,3,5,6,1,Dosei,N2-3nin,0,5,52,1,2.5,female,20_af,20dai,Kou_Sotsu,y1-200,y400-600,1,5,PC(Windows),Kanto,12,NotMarried,NoChild,809
4,4,4,5,5,0,5,5,0,5,5,0,0,0,0,2,3,2,3,3,3,2,3,2,2,3,3,3,3,3,,,,,,5,,,,,female,40_bf,40dai,Sen_Sotsu,y200-400,Unknown,3,,SMA(android),Kinki,27,NotMarried,NoChild,810
5,5,8,2,0,0,2,1,1,2,1,1,2,1,1,2,3,3,2,3,3,2,3,3,2,3,3,3,3,3,4,6,1,Isei,N4-5nin,0,4,52,1,4.5,male,50_bf,50dai,Sen_Sotsu,y400-600,y400-600,5,5,SMA(android),Kinki,26,Married,Child,811
6,7,2,5,2,0,5,2,0,5,2,0,5,2,0,2,3,3,3,4,3,2,2,2,2,3,2,2,3,4,4,,,,N101nin-,3,4,,,101,male,30_af,30dai,Dai_Sotsu,y600-800,y1200-1500,7,13.5,SMA(android),Kanto,13,Married,Child,812
5,4,8,5,3,2,5,5,5,2,2,2,3,3,3,2,3,3,3,4,1,1,3,1,3,4,3,3,3,3,3,0,5,Isei,N1nin,0,3,0,26,1,female,50_bf,50dai,Kou_Sotsu,y1-200,y400-600,1,5,PC(Windows),Kanto,8,Married,Child,813
3,1,3,5,0,0,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,6,3,Isei,N2-3nin,0,2,52,4,2.5,male,40_bf,40dai,Kou_Chu,y1-200,y1-200,1,1,SMA(android),Tohoku,7,NotMarried,NoChild,814
7,8,10,10,5,0,5,5,5,0,5,5,10,10,5,2,3,3,3,4,3,3,2,2,3,2,3,2,3,2,5,6,4,Isei,N4-5nin,0,5,52,12,4.5,female,30_bf,30dai,Dai_Sotsu,y1-200,y600-800,1,7,SMA(iOS_iPhone),Chubu,23,Married,NoChild,815
8,8,8,6,6,1,5,5,5,5,5,5,10,10,2,2,4,4,3,3,2,2,3,3,3,1,1,1,3,3,,,,,,5,,,,,female,50_bf,50dai,Sen_Sotsu,y0,y400-600,0,5,PC(Windows),Kanto,13,Married,Child,816
0,0,1,7,2,0,2,1,3,3,2,2,3,2,2,4,2,2,4,1,3,3,1,2,3,3,4,3,2,2,,4,3,Ryoho,N4-5nin,1,,12,4,4.5,male,30_af,30dai,Sen_Chu,y200-400,y400-600,3,5,Tab(Windows),Tohoku,2,NotMarried,NoChild,817
